"File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR",,
"ENCFF953RPD	fastq	fastq		reads		ENCSR777KAR	total RNA-seq	/human-donors/ENCDO077CCP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1	101		single-ended					2050523124	Barbara Wold"," Caltech	9fff65a7aabbf62ce55249a65fa1daf6	SRA:SRR22521645	https://www.encodeproject.org/files/ENCFF953RPD/@@download/ENCFF953RPD.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/03/28/94e30dfc-bac6-4e9b-b19e-03ed84b77535/ENCFF953RPD.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/28/94e30dfc-bac6-4e9b-b19e-03ed84b77535/ENCFF953RPD.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF111XOO	bam	bam		transcriptome alignments	GRCh38	ENCSR777KAR	total RNA-seq	/human-donors/ENCDO077CCP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF953RPD/"," /files/ENCFF598IDH/	1606002947	ENCODE Processing Pipeline	ef0451336f6641f265d3460386f24e71		https://www.encodeproject.org/files/ENCFF111XOO/@@download/ENCFF111XOO.bam	V29			released	s3://encode-public/2022/04/14/6be006da-38b5-4868-8fba-3385bbb53e55/ENCFF111XOO.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/6be006da-38b5-4868-8fba-3385bbb53e55/ENCFF111XOO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF132HPF	bam	bam		alignments	GRCh38	ENCSR777KAR	total RNA-seq	/human-donors/ENCDO077CCP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF953RPD/"," /files/ENCFF598IDH/	2056387181	ENCODE Processing Pipeline	2ab6027daddcf69a64c4463b06d18162		https://www.encodeproject.org/files/ENCFF132HPF/@@download/ENCFF132HPF.bam	V29			released	s3://encode-public/2022/04/14/935d0255-e17e-432d-b8e7-67159f620be7/ENCFF132HPF.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/935d0255-e17e-432d-b8e7-67159f620be7/ENCFF132HPF.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF060HIC	fastq	fastq		reads		ENCSR875MVZ	total RNA-seq	/human-donors/ENCDO197QVG/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2319947024	Barbara Wold"," Caltech	be4c135a95e963c5bc5c3f70d83d478f	SRA:SRR22521916	https://www.encodeproject.org/files/ENCFF060HIC/@@download/ENCFF060HIC.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/952718ab-b89d-4497-81b3-a96e7d3aeef7/ENCFF060HIC.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/952718ab-b89d-4497-81b3-a96e7d3aeef7/ENCFF060HIC.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF962JHG	bam	bam		transcriptome alignments	GRCh38	ENCSR875MVZ	total RNA-seq	/human-donors/ENCDO197QVG/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF060HIC/	1915980741	ENCODE Processing Pipeline	45d7124ada78f6bf1dcc0376c20b1476		https://www.encodeproject.org/files/ENCFF962JHG/@@download/ENCFF962JHG.bam	V29			released	s3://encode-public/2022/03/09/2f0c8db1-dcfa-41fb-abb9-0f2db4c62fce/ENCFF962JHG.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/2f0c8db1-dcfa-41fb-abb9-0f2db4c62fce/ENCFF962JHG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF808UYE	bam	bam		alignments	GRCh38	ENCSR875MVZ	total RNA-seq	/human-donors/ENCDO197QVG/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF060HIC/	2306239850	ENCODE Processing Pipeline	34be897ce5e5f602e31ffd121831463a		https://www.encodeproject.org/files/ENCFF808UYE/@@download/ENCFF808UYE.bam	V29			released	s3://encode-public/2022/03/09/b5482875-d136-4527-87eb-a7a904f42845/ENCFF808UYE.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/b5482875-d136-4527-87eb-a7a904f42845/ENCFF808UYE.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF561OCY	fastq	fastq		reads		ENCSR061RDC	total RNA-seq	/human-donors/ENCDO940VNT/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2143401368	Barbara Wold"," Caltech	23d8fc6bb4daa0203f358824bb329457	SRA:SRR22521009	https://www.encodeproject.org/files/ENCFF561OCY/@@download/ENCFF561OCY.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/63c05420-484b-4f5c-bafa-6e48de25f2bd/ENCFF561OCY.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/63c05420-484b-4f5c-bafa-6e48de25f2bd/ENCFF561OCY.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF039MOY	bam	bam		transcriptome alignments	GRCh38	ENCSR061RDC	total RNA-seq	/human-donors/ENCDO940VNT/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF561OCY/"," /files/ENCFF598IDH/	1952676304	ENCODE Processing Pipeline	58d212087b56a01d5aedfac28f7a4d29		https://www.encodeproject.org/files/ENCFF039MOY/@@download/ENCFF039MOY.bam	V29			released	s3://encode-public/2022/03/09/266977b8-587a-40cb-b703-c4d8de4bac27/ENCFF039MOY.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/266977b8-587a-40cb-b703-c4d8de4bac27/ENCFF039MOY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF171XXN	bam	bam		alignments	GRCh38	ENCSR061RDC	total RNA-seq	/human-donors/ENCDO940VNT/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF561OCY/"," /files/ENCFF598IDH/	2111807110	ENCODE Processing Pipeline	4308fe82262ec44409a65949c0b84fa7		https://www.encodeproject.org/files/ENCFF171XXN/@@download/ENCFF171XXN.bam	V29			released	s3://encode-public/2022/03/09/268fe0b9-42ad-4371-8542-8a7f2351c553/ENCFF171XXN.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/268fe0b9-42ad-4371-8542-8a7f2351c553/ENCFF171XXN.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF479YLJ	fastq	fastq		reads		ENCSR290IHM	total RNA-seq	/human-donors/ENCDO609ZOG/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2387931549	Barbara Wold"," Caltech	676d4c4434afb357014ce7c6d073635a	SRA:SRR22522199	https://www.encodeproject.org/files/ENCFF479YLJ/@@download/ENCFF479YLJ.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/c5878742-054c-405a-b1c8-afb7cdd38f4a/ENCFF479YLJ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/c5878742-054c-405a-b1c8-afb7cdd38f4a/ENCFF479YLJ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
